low,high,ambiguous_rate,coexist_all_contexts,total_preservativo,total_degenerativo,total_ambiguo,Omega_A_preservativo,Omega_A_degenerativo,Omega_A_ambiguo,Omega_B_preservativo,Omega_B_degenerativo,Omega_B_ambiguo,Omega_C_preservativo,Omega_C_degenerativo,Omega_C_ambiguo
0.272,0.284,0.17692307692307693,True,56,158,46,0.20689655172413793,0.6551724137931034,0.13793103448275862,0.26436781609195403,0.6091954022988506,0.12643678160919541,0.1744186046511628,0.5581395348837209,0.26744186046511625
0.272,0.286,0.2076923076923077,True,56,150,54,0.20689655172413793,0.6206896551724138,0.1724137931034483,0.26436781609195403,0.5862068965517241,0.14942528735632185,0.1744186046511628,0.5232558139534884,0.3023255813953488
0.272,0.288,0.24615384615384617,True,56,140,64,0.20689655172413793,0.5517241379310345,0.2413793103448276,0.26436781609195403,0.5517241379310345,0.1839080459770115,0.1744186046511628,0.5116279069767442,0.313953488372093
0.274,0.284,0.13846153846153847,True,66,158,36,0.22988505747126436,0.6551724137931034,0.11494252873563218,0.27586206896551724,0.6091954022988506,0.11494252873563218,0.2558139534883721,0.5581395348837209,0.18604651162790697
0.274,0.286,0.16923076923076924,True,66,150,44,0.22988505747126436,0.6206896551724138,0.14942528735632185,0.27586206896551724,0.5862068965517241,0.13793103448275862,0.2558139534883721,0.5232558139534884,0.22093023255813954
0.274,0.288,0.2076923076923077,True,66,140,54,0.22988505747126436,0.5517241379310345,0.21839080459770116,0.27586206896551724,0.5517241379310345,0.1724137931034483,0.2558139534883721,0.5116279069767442,0.23255813953488372
0.276,0.284,0.1076923076923077,True,74,158,28,0.26436781609195403,0.6551724137931034,0.08045977011494253,0.2988505747126437,0.6091954022988506,0.09195402298850575,0.29069767441860467,0.5581395348837209,0.1511627906976744
0.276,0.286,0.13846153846153847,True,74,150,36,0.26436781609195403,0.6206896551724138,0.11494252873563218,0.2988505747126437,0.5862068965517241,0.11494252873563218,0.29069767441860467,0.5232558139534884,0.18604651162790697
0.276,0.288,0.17692307692307693,True,74,140,46,0.26436781609195403,0.5517241379310345,0.1839080459770115,0.2988505747126437,0.5517241379310345,0.14942528735632185,0.29069767441860467,0.5116279069767442,0.19767441860465115
0.278,0.284,0.07692307692307693,True,82,158,20,0.28735632183908044,0.6551724137931034,0.05747126436781609,0.3218390804597701,0.6091954022988506,0.06896551724137931,0.3372093023255814,0.5581395348837209,0.10465116279069768
0.278,0.286,0.1076923076923077,True,82,150,28,0.28735632183908044,0.6206896551724138,0.09195402298850575,0.3218390804597701,0.5862068965517241,0.09195402298850575,0.3372093023255814,0.5232558139534884,0.13953488372093023
0.278,0.288,0.14615384615384616,True,82,140,38,0.28735632183908044,0.5517241379310345,0.16091954022988506,0.3218390804597701,0.5517241379310345,0.12643678160919541,0.3372093023255814,0.5116279069767442,0.1511627906976744
